category_name,category_url,product_name,price_raw,rating_raw,reviews_raw,product_url,price,reviews_count,rating,value_score,PRICE_USD,popularity_score
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,TY XIN 725 2.4G 30km/h RC Boat Jet Speedboat Capsized Reset Waterproof LED Light Remote Control Ship High Speed Vehicles Models,US$46.59,4.81,104 reviews,https://www.banggood.com/TY-XIN-725-2_4G-30km-or-h-RC-Boat-Jet-Speedboat-Capsized-Reset-Waterproof-LED-Light-Remote-Control-Ship-High-Speed-Vehicles-Models-p-1998893.html?cur_warehouse=CN&ID=6287842&rmmds=CategoryToysPop&trace_id=14ee1763848600921,46.59,104,4.81,0.10324103884953852,46.59,500.23999999999995
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,TY XIN 686 2.4G 1/72 Rc Boat Powerful Dual Motor Wireless Electric Remote Control Tugboat Model Toys for Boys Gift,US$27.99,4.93,56 reviews,https://www.banggood.com/TY-XIN-686-2_4G-1-or-72-Rc-Boat-Powerful-Dual-Motor-Wireless-Electric-Remote-Control-Tugboat-Model-Toys-for-Boys-Gift-p-1997837.html?cur_warehouse=CN&ID=6287837&rmmds=CategoryToysPop&trace_id=14ee1763848600921,27.99,56,4.93,0.1761343336906038,27.99,276.08
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,ENOZE 8601 8602 RTR 1/24 2.4G 4WD 30km/h Drift RC Car GTR High Speed Racing LED Light On-Road Vehicles Models Toys,US$18.99,4.81,48 reviews,https://www.banggood.com/ENOZE-8601-8602-RTR-1-or-24-2_4G-4WD-30km-or-h-Drift-RC-Car-GTR-High-Speed-Racing-LED-Light-On-Road-Vehicles-Models-Toys-p-2020028.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryToysPop&trace_id=14ee1763848600921,18.99,48,4.81,0.253291205897841,18.99,230.88
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,TY XIN 768 Brushless RTR 2.4G 30km/h RC Boat Jet Speedboat Water Cooling Waterproof Remote Control Ship High Speed Full Proportional Vehicles Models Toys,US$78.09,4.62,45 reviews,https://www.banggood.com/TY-XIN-768-Brushless-RTR-2_4G-30km-or-h-RC-Boat-Jet-Speedboat-Water-Cooling-Waterproof-Remote-Control-Ship-High-Speed-Full-Proportional-Vehicles-Models-Toys-p-2007140.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryToysPop&trace_id=14ee1763848600921,78.09,45,4.62,0.059162504802151364,78.09,207.9
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,Turbo Racing C65 RTR 1/76 2.4G RWD Mini Drift RC Car Built In Gyro Chip Program Metal Counterweights CT04 Chassis Micro Sports Truck LED Lights Full Proportional Vehicles Model Kids Children Toys,US$71.59,4.75,61 reviews,https://www.banggood.com/Turbo-Racing-C65-RTR-1-or-76-2_4G-RWD-Mini-Drift-RC-Car-Built-In-Gyro-Chip-Program-Metal-Counterweights-CT04-Chassis-Micro-Sports-Truck-LED-Lights-Full-Proportional-Vehicles-Model-Kids-Children-Toys-p-2013599.html?cur_warehouse=CN&rmmds=CategoryToysPop&trace_id=14ee1763848600921,71.59,61,4.75,0.06635004888950971,71.59,289.75
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,HC 810 RTR 2.4G RC Boat Colorful Paddle Remote Control Rowing LED Lights 360 Driving Dual Modes Waterproof Ship Underwater Balance Vehicles Models Toys,US$15.99,4.78,93 reviews,https://www.banggood.com/HC-810-RTR-2_4G-RC-Boat-Colorful-Paddle-Remote-Control-Rowing-LED-Lights-360-Driving-Dual-Modes-Waterproof-Ship-Underwater-Balance-Vehicles-Models-Toys-p-2008076.html?cur_warehouse=CN&ID=6287832&rmmds=CategoryToysPop&trace_id=14ee1763848600921,15.99,93,4.78,0.2989368355222014,15.99,444.54
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,CXD D62 MINI Beetles 1/16 2.4G RWD Drift RC Car W/ Light Vehicle Models Toys Full Proportional Control,US$29.99,4.91,199 reviews,https://www.banggood.com/CXD-D62-MINI-Beetles-1-or-16-2_4G-RWD-Drift-RC-Car-W-or-Light-Vehicle-Models-Toys-Full-Proportional-Control-p-2018887.html?cur_warehouse=CN&ID=6322853&rmmds=CategoryToysPop&trace_id=14ee1763848600921,29.99,199,4.91,0.16372124041347116,29.99,977.09
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,TY XIN TX693 1/12 2.4G Brushless Rc Boat Powerful Wireless Electric Remote Control Model Toys for Boys Gift,US$41.39,4.63,16 reviews,https://www.banggood.com/TY-XIN-TX693-1-or-12-2_4G-Brushless-Rc-Boat-Powerful-Wireless-Electric-Remote-Control-Model-Toys-for-Boys-Gift-p-2021115.html?cur_warehouse=CN&ID=6287836&rmmds=CategoryToysPop&trace_id=14ee1763848600921,41.39,16,4.63,0.1118627687847306,41.39,74.08
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,S820 1/32 2.4G Mini RC Boat LED Light Dual Motor Waterproof Remote Control Rescue 1008 Wireless Electric Vehicles Models Toys Kids Children Gift,US$13.59,5.0,12 reviews,https://www.banggood.com/S820-1-or-32-2_4G-Mini-RC-Boat-LED-Light-Dual-Motor-Waterproof-Remote-Control-Rescue-1008-Wireless-Electric-Vehicles-Models-Toys-Kids-Children-Gift-p-2015774.html?cur_warehouse=CN&ID=531930&rmmds=CategoryToysPop&trace_id=14ee1763848600921,13.59,12,5.0,0.36791758646063283,13.59,60.0
Toys Hobbies and Robot,https://www.banggood.com/Wholesale-RC-Vehicles-ca-7007.html?bid=21070102&from=nav,ZLL SG116 PRO/MAX 1/16 2.4G 4WD 80km/h Brushed/Brushless RC Car LED Light Off-Road Climbing Truck High Speed Full Proportional Vehicles Model RTR Toys,US$61.89,4.75,134 reviews,https://www.banggood.com/ZLL-SG116-PRO-or-MAX-1-or-16-2_4G-4WD-80km-or-h-Brushed-or-Brushless-RC-Car-LED-Light-Off-Road-Climbing-Truck-High-Speed-Full-Proportional-Vehicles-Model-RTR-Toys-p-2004712.html?cur_warehouse=CN&ID=6306787&rmmds=CategoryToysPop&trace_id=14ee1763848600921,61.89,134,4.75,0.07674907093229924,61.89,636.5
